time,open,high,low,close,volume
2017-07-05 15:00:00,2.7875,3.0223,2.7605,2.988,180940.04113923
2017-07-05 16:00:00,2.988,3.04,2.88,2.9071,112829.80568173
2017-07-05 17:00:00,2.9146,2.9619,2.8699,2.8998,70523.67884652001
2017-07-05 18:00:00,2.897,2.9499,2.8527,2.8571,62498.69353864
2017-07-05 19:00:00,2.8760000000000003,2.8942,2.753,2.779,91745.31554251
2017-07-05 20:00:00,2.779,2.8599,2.72,2.817,68414.8921404
2017-07-05 21:00:00,2.8289,2.8997,2.8,2.8459,16764.39790546
2017-07-05 22:00:00,2.8459,2.8893,2.82,2.854,59218.92837851
2017-07-05 23:00:00,2.8480000000000003,2.875,2.8092,2.8322,31758.47817179
2017-07-06 00:00:00,2.822,2.922,2.822,2.909,44107.69238128
2017-07-06 01:00:00,2.909,3.012,2.8828,2.975,74994.90117508
2017-07-06 02:00:00,2.9898,3.33,2.9598,3.2794,286645.68255427
2017-07-06 03:00:00,3.2776,3.41,3.1802,3.3,157054.65953951998
2017-07-06 04:00:00,3.3,3.489,3.25,3.48,101186.66261506
2017-07-06 05:00:00,3.482,3.5303,3.3234,3.45,302557.7779699
2017-07-06 06:00:00,3.4569,3.4906,3.244,3.244,182145.5126027
2017-07-06 07:00:00,3.249,3.3,3.1113,3.222,170378.00125995
2017-07-06 08:00:00,3.2224,3.26,3.0646,3.159,108299.67099025
2017-07-06 09:00:00,3.141,3.34,3.133,3.321,53936.98107338
2017-07-06 10:00:00,3.3113,3.4006,3.19,3.317,139790.73627117
2017-07-06 11:00:00,3.3280000000000003,3.362,3.2341,3.3,54353.86892946
2017-07-06 12:00:00,3.3,3.4,3.2910000000000004,3.3704,125055.70041516
2017-07-06 13:00:00,3.3702,3.3702,3.2,3.225,101898.30075998
2017-07-06 14:00:00,3.23,3.2831,3.1574,3.2362,67315.29580612
2017-07-06 15:00:00,3.235,3.279,3.2059,3.259,29910.73874174
2017-07-06 16:00:00,3.25,3.2597,3.1573,3.185,26267.24711461
2017-07-06 17:00:00,3.18,3.1951,3.1,3.1398,48886.53969887
2017-07-06 18:00:00,3.1398,3.2103,3.1204,3.2002,37504.54750631
2017-07-06 19:00:00,3.1964,3.2,3.11,3.1630000000000003,37113.89729083
2017-07-06 20:00:00,3.1603,3.2288,3.12,3.17,48962.90363497
2017-07-06 21:00:00,3.17,3.285,3.136,3.2562,40997.89498471
2017-07-06 22:00:00,3.27,3.3192,3.2310000000000003,3.2362,52549.99619809
2017-07-06 23:00:00,3.2405,3.27,3.2405,3.2499,9337.44937134
2017-07-07 00:00:00,3.24,3.2909,3.221,3.2648,19293.20746827
2017-07-07 01:00:00,3.2639,3.3214,3.15,3.1611,48654.420448280005
2017-07-07 02:00:00,3.17,3.17,3.02,3.0299,231006.4175182
2017-07-07 03:00:00,3.0299,3.088,3.015,3.0742,32908.55434649
2017-07-07 04:00:00,3.056,3.1171,2.9538,3.0075,91293.98212664
2017-07-07 05:00:00,3.0066,3.0556,2.9658,2.9951,80433.18134572
2017-07-07 06:00:00,2.9999,3.0,2.782,2.861,115395.41470554
2017-07-07 07:00:00,2.8798,2.986,2.82,2.8888,124241.19288255
2017-07-07 08:00:00,2.8644,2.93,2.821,2.8861,61457.8478796
2017-07-07 09:00:00,2.9079,2.9079,2.8,2.81,41871.22976761
2017-07-07 10:00:00,2.8049,2.879,2.78,2.82,39762.97868028
2017-07-07 11:00:00,2.82,2.8438,2.755,2.77,70521.23732692
2017-07-07 12:00:00,2.77,2.84,2.7402,2.75,86966.13396151
2017-07-07 13:00:00,2.775,2.7974,2.67,2.6910000000000003,121630.52179987
2017-07-07 14:00:00,2.6907,2.769,2.6796,2.72,56615.24681767
2017-07-07 15:00:00,2.73,2.7688,2.6752,2.7111,38070.83715549
2017-07-07 16:00:00,2.7111,2.82,2.6801,2.7541,86912.33588243001
2017-07-07 17:00:00,2.7541,2.8389,2.7404,2.8389,20620.67383535
2017-07-07 18:00:00,2.8383,2.8799,2.7651,2.782,24685.23975596
2017-07-07 19:00:00,2.782,2.8001,2.7605,2.7968,16566.868302990002
2017-07-07 20:00:00,2.7852,2.798,2.7605,2.7701,15984.90435896
2017-07-07 21:00:00,2.7651,2.7778,2.7110000000000003,2.74,40952.07567229
2017-07-07 22:00:00,2.7397,2.7397,2.6101,2.63,96175.3720606
2017-07-07 23:00:00,2.63,2.6999,2.6,2.6598,460316.19291538
2017-07-08 00:00:00,2.6488,2.7596,2.6311,2.7091,131184.27043951
2017-07-08 01:00:00,2.7091,2.7317,2.5153,2.5801,159506.14014787
2017-07-08 02:00:00,2.5808,2.6374,2.5222,2.57,65209.58751105
2017-07-08 03:00:00,2.599,2.6833,2.575,2.6493,39863.20857584
2017-07-08 04:00:00,2.6499,2.6598,2.5501,2.647,24805.70458062
2017-07-08 05:00:00,2.6217,2.6499,2.52,2.5473,119614.62337098
2017-07-08 06:00:00,2.5304,2.5304,2.3,2.431,346618.55049047
2017-07-08 07:00:00,2.4401,2.456,2.405,2.4189,29054.414024010002
2017-07-08 08:00:00,2.414,2.4346,2.27,2.3,285497.50894035
2017-07-08 09:00:00,2.3,2.3199,2.255,2.255,52292.67451998
2017-07-08 10:00:00,2.255,2.2723,2.01,2.052,261741.1870976
2017-07-08 11:00:00,2.0521,2.187,2.01,2.0798,205978.59566399
2017-07-08 12:00:00,2.0761,2.39,2.0723,2.2332,241032.09147165
2017-07-08 13:00:00,2.235,2.3299,2.2332,2.2999,74468.11519031
2017-07-08 14:00:00,2.29,2.53,2.265,2.422,313815.61315659
2017-07-08 15:00:00,2.42,2.4204,2.303,2.306,102503.80702455
2017-07-08 16:00:00,2.319,2.3542,2.2067,2.2627,46012.32530971
2017-07-08 17:00:00,2.2626,2.3549,2.18,2.2591,61544.21388758
2017-07-08 18:00:00,2.2528,2.354,2.251,2.324,57841.30934516
2017-07-08 19:00:00,2.3239,2.3539,2.286,2.3118,11219.94625907
2017-07-08 20:00:00,2.318,2.3366,2.279,2.3115,21058.79682318
2017-07-08 21:00:00,2.3115,2.344,2.28,2.322,39401.30081681
2017-07-08 22:00:00,2.32,2.324,2.275,2.3,12454.876992810001
2017-07-08 23:00:00,2.297,2.47,2.2822,2.3957,290017.4750605
2017-07-09 00:00:00,2.3965,2.545,2.3965,2.54,90242.36885597999
2017-07-09 01:00:00,2.5399,2.545,2.3544,2.4175,104331.71043618
2017-07-09 02:00:00,2.4174,2.495,2.3671,2.495,45219.94631188
2017-07-09 03:00:00,2.4930000000000003,2.549,2.45,2.4671,64856.98623048
2017-07-09 04:00:00,2.4668,2.4668,2.189,2.2193,125111.29610136
2017-07-09 05:00:00,2.23,2.25,2.1201,2.1577,239220.81529696
2017-07-09 06:00:00,2.1596,2.187,2.132,2.1794,62988.30030096
2017-07-09 07:00:00,2.1791,2.25,2.1623,2.19,63449.317109070005
2017-07-09 08:00:00,2.1777,2.2791,2.1604,2.1782,54972.54679014
2017-07-09 09:00:00,2.1789,2.215,2.17,2.1886,18544.51725356
2017-07-09 10:00:00,2.19,2.2799,2.17,2.245,65100.34123855
2017-07-09 11:00:00,2.2491,2.36,2.217,2.36,165771.76830935
2017-07-09 12:00:00,2.3599,2.36,2.2677,2.2882,109884.24239935
2017-07-09 13:00:00,2.2895,2.35,2.2507,2.34,98838.16623961
2017-07-09 14:00:00,2.3359,2.3733,2.281,2.2849,104987.3019913
2017-07-09 15:00:00,2.2861,2.3414,2.286,2.341,9100.23448315
2017-07-09 16:00:00,2.34,2.34,2.3,2.3199,15001.59163087
2017-07-09 17:00:00,2.3259,2.387,2.3,2.3725,100568.35513150999
2017-07-09 18:00:00,2.3663,2.41,2.3456,2.3505,85543.30615321
2017-07-09 19:00:00,2.3507,2.388,2.325,2.3258,23132.99148569
2017-07-09 20:00:00,2.3301,2.3301,2.23,2.2545,67083.05456647
2017-07-09 21:00:00,2.2682,2.29,2.239,2.2425,21055.72299211
2017-07-09 22:00:00,2.2425,2.2674,2.222,2.2286,55507.71798775
2017-07-09 23:00:00,2.2498,2.25,2.1775,2.2061,70246.60361304
2017-07-10 00:00:00,2.2064,2.275,2.1,2.1051,90596.16691158
2017-07-10 01:00:00,2.105,2.2408,2.105,2.1628,98795.47730794
2017-07-10 02:00:00,2.1628,2.1886,2.13,2.13,49816.3833776
2017-07-10 03:00:00,2.1344,2.152,2.0703,2.13,131763.36499852
2017-07-10 04:00:00,2.1301,2.152,2.061,2.0759,110199.92252973
2017-07-10 05:00:00,2.0889,2.1999,2.071,2.168,43258.02883061
2017-07-10 06:00:00,2.168,2.23,2.1604,2.1996,39139.93887062
2017-07-10 07:00:00,2.1998,2.2495,2.1862,2.2181,61583.84397301
2017-07-10 08:00:00,2.2384,2.2495,2.198,2.2,46990.0047421
2017-07-10 09:00:00,2.2031,2.2443,2.125,2.2443,65023.19193879
2017-07-10 10:00:00,2.244,2.244,2.1999,2.218,22737.992066310002
2017-07-10 11:00:00,2.2147,2.2199,2.155,2.155,24532.50668973
2017-07-10 12:00:00,2.1694,2.1790000000000003,2.0653,2.0854,142776.61599084002
2017-07-10 13:00:00,2.0857,2.13,2.01,2.066,111577.1364245
2017-07-10 14:00:00,2.0677,2.1339,1.92,1.9571,199043.95638083
2017-07-10 15:00:00,1.9571,1.9845,1.86,1.9,208677.41943291
2017-07-10 16:00:00,1.9,2.042,1.9,1.9625,193177.19842047
2017-07-10 17:00:00,1.9641,2.029,1.96,1.987,43887.39292574
2017-07-10 18:00:00,2.0185,2.025,1.95,1.9707,98096.49814494001
2017-07-10 19:00:00,1.9805,2.0,1.941,1.9572,40869.11329773
2017-07-10 20:00:00,1.9729,1.9789,1.8799,1.8899,96542.6480303
2017-07-10 21:00:00,1.8899,1.9,1.8138,1.842,258465.69573651
2017-07-10 22:00:00,1.8489,1.8531,1.7436,1.744,167131.20036471
2017-07-10 23:00:00,1.7873,1.796,1.234,1.6016,1214701.42503512
2017-07-11 00:00:00,1.6016,1.6769999999999998,1.5155,1.6101,371481.44888487
2017-07-11 01:00:00,1.6159,1.6388,1.3769999999999998,1.5614,279271.93764707
2017-07-11 02:00:00,1.5608,1.5653,1.4189,1.4962,208248.15536387
2017-07-11 03:00:00,1.4958,1.5577,1.378,1.4,301269.84540268
