time,open,high,low,close,volume
2019-05-20 08:00:00,2.49,2.49,1.04,1.089,416308.92592729
2019-05-20 09:00:00,1.075,1.15,1.05,1.05,507803.62424756004
2019-05-20 10:00:00,1.0491,1.06,1.0252,1.06,371111.58729475003
2019-05-20 11:00:00,1.06,1.1099,1.06,1.1,393845.31270433
2019-05-20 12:00:00,1.1,1.108,1.07,1.07,86639.08800845
2019-05-20 13:00:00,1.0747,1.107,1.065,1.0889,22182.87217362
2019-05-20 14:00:00,1.0888,1.0971,1.0838,1.0915,43451.95796292
2019-05-20 15:00:00,1.105,1.105,1.085,1.0851,219471.8879958
2019-05-20 16:00:00,1.0851,1.11,1.08,1.1083,443711.07629725
2019-05-20 17:00:00,1.1083,1.1083,1.0825,1.0833,25264.15531472
2019-05-20 18:00:00,1.0883,1.0999,1.081,1.0999,50324.79680329
2019-05-20 19:00:00,1.098,1.098,1.083,1.0831,104967.05740772
2019-05-20 20:00:00,1.0998,1.0999,1.083,1.083,16360.62090368
2019-05-20 21:00:00,1.0998,1.1,1.0821,1.0821,33249.86697687
2019-05-20 22:00:00,1.0822,1.0999,1.07,1.07,103092.71037531001
2019-05-20 23:00:00,1.07,1.0701,1.065,1.07,25558.06715816
2019-05-21 00:00:00,1.0701,1.0702,1.065,1.065,45483.27870429
2019-05-21 01:00:00,1.0651,1.0651,1.06,1.0601,29229.893192189997
2019-05-21 02:00:00,1.06,1.06,1.0523,1.0523,30810.7349804
2019-05-21 03:00:00,1.0523,1.0523,1.045,1.0483,67494.70533124
2019-05-21 04:00:00,1.045,1.0497,1.0075,1.009,181112.33121406
2019-05-21 05:00:00,1.0142,1.02,1.008,1.008,22971.29651606
2019-05-21 06:00:00,1.0081,1.0385,1.0081,1.0385,21.61461538
2019-05-21 07:00:00,1.0384,1.0559,1.0384,1.04,46896.273392560004
2019-05-21 08:00:00,1.0401,1.05,1.04,1.041,14580.71199788
2019-05-21 09:00:00,1.041,1.0553,1.03,1.0399,61144.96258059001
2019-05-21 10:00:00,1.04,1.04,1.033,1.033,62829.506854839994
2019-05-21 11:00:00,1.0331,1.0331,1.03,1.03,20960.12182534
2019-05-21 12:00:00,1.03,1.0309,1.03,1.0301,26484.96837433
2019-05-21 13:00:00,1.0301,1.0601,1.03,1.0336,183516.711886
2019-05-21 14:00:00,1.0387,1.0389,1.0309,1.0309,4718.42757847
2019-05-21 15:00:00,1.0316,1.0444,1.031,1.0428,28450.693208239998
2019-05-21 16:00:00,1.0351,1.0431,1.0301,1.0431,68416.8844057
2019-05-21 17:00:00,1.0413,1.07,1.0413,1.0676,103552.98397144
2019-05-21 18:00:00,1.058,1.058,1.058,1.058,2455.6549867900003
2019-05-21 19:00:00,1.06,1.0669,1.058,1.0599,4806.0674492
2019-05-21 20:00:00,1.0667,1.0667,1.058,1.058,417.40718671
2019-05-21 21:00:00,1.0667,1.0668,1.0489,1.0490000000000002,43333.78364456
2019-05-21 22:00:00,1.0404,1.0404,1.037,1.037,40309.99990501
2019-05-21 23:00:00,1.038,1.0384,1.038,1.0384,968.41734958
2019-05-22 00:00:00,1.0384,1.0389,1.035,1.035,701.9304532
2019-05-22 01:00:00,1.039,1.089,1.0351,1.0423,105950.73917712999
2019-05-22 02:00:00,1.0792,1.08,1.0402,1.0502,72253.89432912
2019-05-22 03:00:00,1.0626,1.0626,1.0625,1.0625,615.38643024
2019-05-22 04:00:00,1.052,1.0801,1.0441,1.0539,15518.938390180001
2019-05-22 05:00:00,1.054,1.08,1.0539,1.08,8467.33339558
2019-05-22 06:00:00,1.0701,1.0701,1.0487,1.055,280303.37450418
2019-05-22 07:00:00,1.055,1.0601,1.04,1.0601,142343.48325556002
2019-05-22 08:00:00,1.0696,1.0783,1.055,1.0783,26920.43567633
2019-05-22 09:00:00,1.0686,1.0687,1.05,1.05,71281.65325354
2019-05-22 10:00:00,1.05,1.07,1.05,1.0523,60377.4475112
2019-05-22 11:00:00,1.067,1.067,1.067,1.067,907.68469165
2019-05-22 12:00:00,1.065,1.0778,1.0636,1.0748,72726.80118686
2019-05-22 13:00:00,1.0712,1.0783,1.0622,1.0622,8692.864895980001
2019-05-22 14:00:00,1.0607,1.0607,1.0606,1.0606,553.9468959999999
2019-05-22 15:00:00,1.0675,1.0772,1.0606,1.0772,25380.32221677
2019-05-22 16:00:00,1.0772,1.1011,1.0772,1.1011,170045.9314664
2019-05-22 17:00:00,1.1,1.1399,1.1,1.1287,365673.43534686003
2019-05-22 18:00:00,1.1349,1.1375,1.1311,1.1375,37897.9308674
2019-05-22 19:00:00,1.1375,1.1376,1.1287,1.1362,54666.70548675
2019-05-22 20:00:00,1.1364,1.1364,1.079,1.12,109413.91175565
2019-05-22 21:00:00,1.1164,1.1251,1.1127,1.1192,80943.15270543
2019-05-22 22:00:00,1.1135,1.1199,1.1103,1.1199,17336.82613957
2019-05-22 23:00:00,1.1289,1.13,1.121,1.121,30984.63588494
2019-05-23 00:00:00,1.121,1.1343,1.118,1.1228,16338.93622674
2019-05-23 01:00:00,1.1335,1.1335,1.1335,1.1335,1411.16092509
2019-05-23 02:00:00,1.1261,1.1261,1.1201,1.1201,171.14209251
2019-05-23 03:00:00,1.12,1.12,1.1087,1.1087,16012.293524280001
2019-05-23 05:00:00,1.1053,1.1089,1.0984,1.1021,10967.82016926
2019-05-23 06:00:00,1.0985,1.0985,1.0888,1.0889,21845.890839699998
2019-05-23 07:00:00,1.0939,1.0939,1.08,1.08,40000.0
2019-05-23 08:00:00,1.0876,1.0963,1.0791,1.0791,91270.65585511
2019-05-23 09:00:00,1.0873,1.09,1.05,1.08,228277.53057908
2019-05-23 10:00:00,1.08,1.08,1.0792,1.0792,44514.43305724
2019-05-23 11:00:00,1.0798,1.0934,1.0776,1.0788,183333.10998991
2019-05-23 12:00:00,1.0839,1.1053,1.0759999999999998,1.1053,71600.5473917
2019-05-23 13:00:00,1.0997,1.0997,1.0994,1.0994,5033.06211441
2019-05-23 14:00:00,1.1077,1.1243,1.1063,1.1167,27582.56806119
2019-05-23 15:00:00,1.11,1.1249,1.1075,1.1097,8093.865841250002
2019-05-23 16:00:00,1.1181,1.1181,1.1095,1.1098,396.81960944
2019-05-23 17:00:00,1.1181,1.1181,1.1109,1.1109,2437.98128181
2019-05-23 18:00:00,1.1184,1.1214,1.1121,1.1121,900.2218240600002
2019-05-23 19:00:00,1.119,1.1258,1.119,1.1199,20449.99999083
2019-05-23 20:00:00,1.1141,1.1141,1.0883,1.0947,95100.66470808
2019-05-23 21:00:00,1.0999,1.1,1.0999,1.1,871.0
2019-05-23 22:00:00,1.1,1.1,1.1,1.1,2009.74906193
2019-05-23 23:00:00,1.0964,1.0964,1.0956,1.0956,4000.0
2019-05-24 00:00:00,1.0999,1.1,1.0999,1.1,2464.18535837
2019-05-24 02:00:00,1.0958,1.0971,1.0958,1.0971,5283.01589556
