Index,time,price,Pred_1h,Pred_4h,Pred_12h,Pred_24h,Pred_48h,Position_1h,Position_4h,Position_12h,Position_24h,Position_48h,Return_1h,Return_4h,Return_12h,Return_24h,Return_48h,Total_Return 1h,Total_Return_4h,Total_Return_12h,Total_Return_24h,Total_Return_48h,Unnamed: 23
24,19/05/2022 21:55:58,30407.55,0.011189122,-0.0482943769,-0.0218566727,-0.0678771628,0.0136231156,0.0081982212,-0.0081982212,-0.0081982212,-0.0081982212,0.0081982212,,,,,,,,,,,
25,19/05/2022 22:56:01,30329.96,0.0222933191,-0.0848014006,-0.0325699437,-0.0423602202,-0.0464549516,0.0082428733,-0.0082428733,-0.0082428733,-0.0082428733,-0.0082428733,,,,,,,,,,,
26,19/05/2022 23:55:56,30198.36,0.0067840394,0.0286909911,-0.0177329447,-0.0084093086,-0.0262205676,0.0082842519,0.0082842519,-0.0082842519,-0.0082842519,-0.0082842519,,,,,,,,,,,
27,20/05/2022 00:55:56,30100.86,0.0126924495,-0.0462436121,-0.028846365,0.0138809732,0.0008700526,0.0083087892,-0.0083087892,-0.0083087892,0.0083087892,0.0083087892,,,,,,,,,,,
28,20/05/2022 01:55:56,30166.7,-0.0069432178,-0.0695493111,-0.0337311709,-0.0342207978,-0.004657527,-0.0082858417,-0.0082858417,-0.0082858417,-0.0082858417,-0.0082858417,,,,,,,,,,,
29,20/05/2022 02:55:56,29933.95,-0.0037012319,-0.0013211262,-0.0320098064,-0.0343704534,-0.0127318825,-0.0083251802,-0.0083251802,-0.0083251802,-0.0083251802,-0.0083251802,,,,,,,,,,,
30,20/05/2022 03:55:56,30313.78,-0.0029936577,0.0050710404,-0.0184991846,0.0050690937,0.012337794,-0.0082600283,0.0082600283,-0.0082600283,0.0082600283,0.0082600283,,,,,,,,,,,
31,20/05/2022 05:55:57,30339.69,-0.006478469,-0.0032113194,-0.036918514,0.0215229198,-0.0238521895,-0.0082533338,-0.0082533338,-0.0082533338,0.0082533338,-0.0082533338,,,,,,,,,,,
32,20/05/2022 06:55:56,30300.05,-0.0011314041,-0.0330352188,0.0023947241,-0.0062841297,-0.0178681642,-0.0082261115,-0.0082261115,0.0082261115,-0.0082261115,-0.0082261115,,,,,,,,,,,
33,20/05/2022 07:55:57,30465.69,0.029995248,-0.054175775,-0.0127715525,-0.0188563874,-0.0166132864,0.0082255837,-0.0082255837,-0.0082255837,-0.0082255837,-0.0082255837,,,,,,,,,,,
34,20/05/2022 08:55:58,30195.22,0.0311903426,0.0064520576,0.0039286043,-0.0267064217,0.0015789113,0.0082710441,0.0082710441,0.0082710441,-0.0082710441,0.0082710441,,,,,,,,,,,
35,20/05/2022 09:56:06,30365.52,0.0448917256,-0.0317306883,-0.0332703429,0.0012205224,0.0087219165,0.008240189,-0.008240189,-0.008240189,0.008240189,0.008240189,,,,,,,,,,,
36,20/05/2022 10:56:15,29478.02,0.0145300844,0.0230850115,-0.0174930327,0.0006563766,-0.0619476149,0.0084883994,0.0084883994,-0.0084883994,0.0084883994,-0.0084883994,,,,,,,,,,,
37,20/05/2022 11:56:27,29155.05,2.484365719589068e-05,-0.0441391915,-0.0597731936,0.0031596883,0.0042288015,0.0085928222,-0.0085928222,-0.0085928222,0.0085928222,0.0085928222,,,,,,,,,,,
38,20/05/2022 12:56:16,28919.12,-0.055263299,-0.0639943875,-0.00082719,0.006637976,0.0482784014,-0.0086597991,-0.0086597991,-0.0086597991,0.0086597991,0.0086597991,,,,,,,,,,,
39,20/05/2022 13:56:10,29022.79,-0.0164926127,-0.0176279903,0.0091593898,-0.014205868,0.0672026123,-0.0086491364,-0.0086491364,0.0086491364,-0.0086491364,0.0086491364,,,,,,,,,,,
40,20/05/2022 14:56:10,29085.25,-0.0583155634,0.0566407805,0.0100102254,0.019788239,0.0581587437,-0.0086144783,0.0086144783,0.0086144783,0.0086144783,0.0086144783,,,,,,,,,,,
41,20/05/2022 15:56:10,29333.32,0.0010451771,-0.0594927554,0.0008485237,0.0449212343,0.0012452881,0.0085452206,-0.0085452206,0.0085452206,0.0085452206,0.0085452206,,,,,,,,,,,
42,20/05/2022 16:56:20,29170.36,0.0054313423,0.0364728209,9.35027802401664e-05,0.0275537506,0.06747444,0.0085663583,0.0085663583,0.0085663583,0.0085663583,0.0085663583,,,,,,,,,,,
